OBJECTID_1,OBJECTID,CD_USO_SOL,CD_UNIDADE,CD_REGIAO,CD_PROJETO,AREA_HA,CD_TALHAO,ID_REGIAO,ID_PROJETO,Shape_Leng,Shape_Area,CAMALHAO
1,731130,2433,1,11,997,8.53000000000,159A,11,002,0.14630507911,0.00000801230,Classe 2
2,731625,78961,1,11,997,0.78000000000,125F,11,002,0.00107797834,0.00000073127,Classe 1
3,1098179,285450,1,11,6385,4.94000000000,001F,11,G879,0.00107797834,0.00000461557,Classe 2
4,1173784,97223,1,13,2803,0.08000000000,005B,12,R521,0.04251191767,0.00000007265,Classe 1
5,1173785,97224,1,13,2803,0.07000000000,006B,12,R521,0.02111337470,0.00000006171,Classe 1
6,1173786,308150,1,13,2803,0.38000000000,006D,12,R521,0.02111337470,0.00000035614,Classe 1
7,1098187,285449,1,11,6385,2.40000000000,001G,11,G879,0.00107797834,0.00000224449,Classe 3
8,1098189,275952,1,11,6394,6.13000000000,006A,11,G891,0.00511247824,0.00000573796,Classe 2
9,1098190,275948,1,11,6394,28.46000000000,002A,11,G891,0.00107797834,0.00002665302,Classe 3
10,1185389,311045,1,11,1953,1.02000000000,002C,11,242,0.01001015463,0.00000095481,Classe 3
11,1185387,311044,1,11,1976,0.17000000000,013D,11,234,0.00215595668,0.00000015764,Classe 3
12,935657,234105,1,11,1036,0.04000000000,043D,11,055,0.00101055091,0.00000004067,Classe 1
13,935655,234140,1,11,1036,0.87000000000,040C,11,055,0.00284739983,0.00000081296,Classe 1
14,838706,211061,1,11,1675,0.30000000000,004B,11,152,0.00101079607,0.00000028594,Classe 1
15,838707,211070,1,11,1675,0.33000000000,003C,11,152,0.00107797834,0.00000030634,Classe 1
16,1182906,305145,1,11,1888,2.50000000000,002A,11,326,0.03457320997,0.00000234616,Classe 1
17,1182907,250199,1,11,5171,9.28000000000,001A,11,G959,0.00586093267,0.00000872754,Classe 3
18,1117118,290892,1,11,6334,0.10000000000,008G,11,G860,0.00107797834,0.00000008999,Classe 1
19,1182908,305147,1,11,1888,5.43000000000,005A,11,326,0.00205539181,0.00000509073,Classe 1
20,838708,211062,1,11,1675,0.24000000000,006B,11,152,0.00107797834,0.00000022945,Classe 1
21,1022413,104858,1,13,2927,0.12000000000,126D,12,R432,0.19631956928,0.00000011087,Classe 1
22,838709,211060,1,11,1675,0.18000000000,002B,11,152,0.00107797834,0.00000016887,Classe 1
23,1022494,104843,1,13,2927,0.36000000000,074D,12,R432,0.00269494585,0.00000033918,Classe 3
24,838710,211071,1,11,1675,0.61000000000,005B,11,152,0.00248961379,0.00000057423,Classe 3
25,1210217,293903,1,11,1540,3.34000000000,018F,11,103,0.00734202774,0.00000313145,Classe 1
26,1210219,310586,1,11,2040,2.35000000000,007B,11,334,0.00656848304,0.00000219967,Classe 1
27,1210221,316659,1,11,1004,1.44000000000,117B,11,012,0.02996860425,0.00000134898,Classe 1
28,650433,254,1,11,997,0.99000000000,121B,11,002,0.00364540202,0.00000092636,Classe 1
29,846172,145876,1,11,1004,11.56000000000,060A,11,012,0.01558096107,0.00001082266,Classe 1
30,870806,216987,1,11,1947,7.90000000000,010A,11,611,0.01813392176,0.00000740024,Classe 1
31,1220506,251441,1,11,5211,23.77000000000,117A,11,G974,0.00107797834,0.00002229869,Classe 3
32,1220508,251586,1,11,5211,9.58000000000,039B,11,G974,0.03887026904,0.00000897904,Classe 1
33,1117120,275026,1,11,6334,3.60000000000,009A,11,G860,0.01176419606,0.00000335870,Classe 3
34,703595,186014,1,11,1608,0.08000000000,014D,11,123,0.00152505568,0.00000007751,Classe 1
35,703596,143423,1,11,1608,13.03000000000,010B,11,123,0.00107797834,0.00001222225,Classe 1
36,1117121,275009,1,11,6334,0.14000000000,001B,11,G860,0.00269494585,0.00000012626,Classe 1
37,1117122,290880,1,11,6334,0.18000000000,004C,11,G860,0.00101678836,0.00000016546,Classe 1
38,1180186,309983,1,11,1894,3.05000000000,008B,11,614,0.00587647319,0.00000286586,Classe 1
39,1180187,309980,1,11,2204,3.91000000000,001B,11,633,0.00101623400,0.00000368466,Classe 2
40,1180184,232478,1,11,2204,26.37000000000,005A,11,633,0.00191379364,0.00002485861,Classe 1
41,1180188,232477,1,11,2204,2.23000000000,002A,11,633,0.00778266276,0.00000210400,Classe 3
42,1180189,232480,1,11,2204,0.25000000000,003A,11,633,0.02463796323,0.00000023208,Classe 1
43,703603,143261,1,11,1608,16.79000000000,014A,11,123,0.00101055091,0.00001575293,Classe 1
44,692140,92483,1,11,1041,0.15000000000,013G,11,062,0.00195008114,0.00000014030,Classe 1
45,692141,92476,1,11,1041,0.74000000000,013F,11,062,0.00195008114,0.00000069721,Classe 1
46,692142,208126,1,11,1041,0.19000000000,013I,11,062,0.06505102294,0.00000017942,Classe 1
47,744769,8157,1,11,1055,0.39000000000,007Z,11,081,0.00107797834,0.00000036345,Classe 1
48,800374,221218,1,11,2104,0.21000000000,002C,11,631,0.01238994581,0.00000019414,Classe 1
49,870810,216989,1,11,1947,1.69000000000,010C,11,611,0.04294427726,0.00000158650,Classe 1
50,703609,208999,1,11,1608,0.23000000000,009C,11,123,0.00107797834,0.00000021854,Classe 1
